carpark_number,update_datetime,total_lots,lot_type,lots_available
KJ3,2022-07-01T00:55:37,334,C,159
KJM1,2022-07-01T00:54:32,265,C,136
KJ4,2022-07-01T00:58:27,182,C,70
CVBK,2022-07-01T00:58:08,444,C,50
BKRM,2022-07-01T00:58:22,278,C,185
U52,2022-07-01T00:57:48,952,C,335
CK62,2022-07-01T00:56:54,1200,C,924
CK63,2022-07-01T00:56:30,866,C,334
CK64,2022-07-01T00:56:43,1284,C,1069
P8,2022-07-01T00:58:40,379,C,159
P9,2022-07-01T00:58:40,382,C,179
PL53,2022-07-01T00:58:10,424,C,132
RC2,2022-07-01T00:59:03,186,C,55
RC3,2022-07-01T00:58:55,267,C,97
SK66,2022-07-01T00:56:52,522,C,221
BRM1,2022-07-01T00:59:13,335,C,133
Y36,2022-07-01T00:56:52,287,C,53
CK11,2022-07-01T00:56:33,393,C,130
CK35,2022-07-01T00:56:36,345,C,148
K19,2022-07-01T00:57:58,96,C,5
SK18,2022-07-01T00:58:19,665,C,336
J17,2022-07-01T00:56:32,162,C,56
J20,2022-07-01T00:56:21,365,C,85
HE9,2022-07-01T00:59:09,89,C,31
JM20,2022-07-01T00:59:34,923,C,20
PM24,2022-07-01T00:58:54,295,C,181
PR14,2022-07-01T00:58:54,84,C,0
BRM5,2022-07-01T00:59:12,376,C,199
BRM6,2022-07-01T00:47:31,467,C,150
H6,2022-07-01T00:59:09,212,C,86
P7,2022-07-01T00:58:30,896,C,445
CK58,2022-07-01T00:56:36,2637,C,2241
W11,2022-07-01T00:34:11,303,C,30
W11M,2022-07-01T00:34:37,310,C,103
BJ13,2022-07-01T00:58:34,352,C,39
C11,2022-07-01T00:58:54,359,C,226
C29,2022-07-01T00:59:13,189,C,162
C30,2022-07-01T00:59:15,211,C,104
C31,2022-07-01T00:59:15,145,C,22
C33,2022-07-01T00:59:01,805,C,270
C34,2022-07-01T00:58:59,147,C,20
C35,2022-07-01T00:59:05,647,C,211
C36,2022-07-01T00:59:15,86,C,0
C37,2022-07-01T00:59:15,423,C,272
C38,2022-07-01T00:59:05,265,C,61
CKM2,2022-07-01T00:58:00,301,C,131
CTM1,2022-07-01T00:59:15,266,C,158
JMB2,2022-07-01T00:58:57,666,C,440
JMB3,2022-07-01T00:59:15,577,C,203
U11,2022-07-01T00:56:06,60,C,0
U7,2022-07-01T00:55:28,291,C,133
U8,2022-07-01T00:58:31,121,C,6
A49,2022-07-01T00:58:43,179,C,30
A76,2022-07-01T00:59:00,636,C,314
U50,2022-07-01T00:59:01,37,C,29
T57,2022-07-01T00:57:38,22,C,6
T78,2022-07-01T00:57:37,266,C,28
PM43,2022-07-01T00:57:27,342,C,147
PM44,2022-07-01T00:57:27,352,C,156
T73,2022-07-01T00:57:39,309,C,110
BKE4,2022-07-01T00:59:10,43,C,5
W69,2022-07-01T00:35:55,492,C,259
PL12,2022-07-01T00:58:34,747,C,332
PL13,2016-12-25T12:34:06,375,C,372
SK46,2022-07-01T00:55:40,644,C,344
SK47,2022-07-01T00:54:58,630,C,368
JSA1,2022-07-01T00:59:03,63,C,33
TJ39,2022-06-30T22:30:54,663,C,300
TM6,2022-07-01T00:59:17,809,C,792
TM7,2022-07-01T00:59:17,245,C,86
AR7L,2022-07-01T00:59:12,4,C,3
CK75,2022-07-01T00:56:34,1494,C,983
CK76,2022-07-01T00:56:32,755,C,308
W70,2022-07-01T00:35:52,298,C,140
W74,2022-07-01T00:35:52,381,C,195
CK65,2022-07-01T00:57:42,69,C,7
SB1,2022-07-01T00:55:51,436,C,225
SB6,2022-07-01T00:57:45,518,C,285
WD1B,2018-10-12T16:48:40,1000,C,0
BB8M,2019-03-02T03:59:46,1000,C,720
JB42,2018-11-02T03:59:39,1000,C,218
TBM,2022-07-01T00:59:02,307,C,153
B81,2022-07-01T00:59:36,622,C,428
B92,2022-07-01T00:59:36,757,C,393
Y34,2022-07-01T00:56:46,1189,C,457
Y34A,2022-07-01T00:56:46,233,C,123
B67,2022-07-01T00:58:55,334,C,15
T74,2022-07-01T00:57:38,232,C,86
TM10,2022-07-01T00:58:23,291,C,72
TM9,2022-07-01T00:58:23,20,C,0
SE12,2022-07-01T00:58:42,722,C,307
CK70,2022-07-01T00:56:38,620,C,521
CK71,2022-07-01T00:56:54,371,C,90
CK77,2022-07-01T00:56:45,798,C,463
SK34,2022-07-01T00:58:23,500,C,149
SK35,2022-07-01T00:58:23,1044,C,702
B21,2022-07-01T00:59:02,555,C,166
W517,2022-07-01T00:34:54,1158,C,648
TM33,2022-07-01T00:57:31,378,C,157
TM34,2022-07-01T00:57:31,463,C,151
B89,2022-07-01T00:58:51,287,C,126
Q94,2022-07-01T00:58:16,21,C,0
W20,2022-07-01T00:35:58,781,C,249
Y40,2022-07-01T00:57:16,763,C,202
A100,2022-07-01T00:58:58,64,C,35
A73,2022-07-01T00:58:56,414,C,156
A74,2022-07-01T00:58:44,185,C,13
Q66,2022-07-01T00:58:16,97,C,62
BE232,2017-02-06T10:23:27,500,C,499
BE241,2017-02-06T10:23:27,500,C,499
TM35,2022-07-01T00:59:08,632,C,308
BL22,2022-07-01T00:58:57,358,C,195
JM32,2022-07-01T00:58:54,410,C,230
PL17,2022-07-01T00:58:23,609,C,351
PL20,2022-07-01T00:58:23,617,C,332
PL22,2022-07-01T00:58:23,379,C,191
PL26,2022-07-01T00:58:23,375,C,200
BLM,2022-07-01T00:58:08,556,C,302
HG71,2022-07-01T00:59:10,685,C,252
TM23,2022-07-01T00:57:45,242,C,54
TM24,2022-07-01T00:57:45,344,C,117
W108,2022-07-01T00:35:19,76,C,41
JM2,2022-07-01T00:59:05,300,C,159
JM3,2022-07-01T00:59:05,547,C,310
JM4,2022-07-01T00:59:06,435,C,225
JM11,2022-07-01T00:59:06,573,C,358
JM26,2022-07-01T00:59:06,571,C,307
JM27,2022-07-01T00:59:07,537,C,330
JSR2,2022-07-01T00:59:07,593,C,366
SK55,2022-07-01T00:57:10,905,C,499
UBM1,2022-07-01T00:57:43,914,C,576
KB18,2022-07-01T00:55:58,36,C,0
KB20,2022-07-01T00:55:58,225,C,109
W578,2022-07-01T00:35:07,418,C,219
W579,2022-07-01T00:35:07,403,C,191
Y45M,2022-07-01T00:59:13,567,C,127
HG42,2022-07-01T00:59:07,701,C,68
KE2,2022-07-01T00:58:59,209,C,62
KE4,2022-07-01T00:58:59,133,C,21
BJ29,2022-07-01T00:56:54,1318,C,953
T72,2022-07-01T00:58:18,640,C,198
A4,2022-07-01T00:58:51,337,C,120
A24,2022-07-01T00:58:50,214,C,137
GEML,2022-07-01T00:58:13,3,C,3
W509,2022-07-01T00:35:20,583,C,258
W516,2022-07-01T00:35:20,574,C,359
HG1B,2022-07-01T00:59:15,659,C,249
BJ24,2022-07-01T00:56:42,258,C,24
BJ27,2022-07-01T00:56:51,305,C,200
B11,2022-07-01T00:58:45,1011,C,385
W86,2022-07-01T00:35:30,465,C,264
W89,2022-07-01T00:35:30,524,C,276
BJ66,2022-07-01T00:56:44,868,C,596
BJ67,2022-07-01T00:56:40,1000,C,781
TB18,2022-07-01T00:59:04,71,C,4
TM48,2022-07-01T00:57:41,224,C,93
AR1L,2022-07-01T00:59:20,4,C,0
PL56,2022-07-01T00:57:46,670,C,349
PL60,2022-07-01T00:58:36,558,C,183
B50,2022-07-01T00:59:35,581,C,113
W71,2022-07-01T00:34:15,377,C,176
PL61,2022-07-01T00:58:32,938,C,339
PM21,2022-07-01T00:58:54,428,C,217
Y43,2022-07-01T00:57:30,716,C,158
B54,2022-07-01T00:59:41,145,C,16
B91,2022-07-01T00:59:41,51,C,43
B57,2022-07-01T00:59:36,426,C,155
TJ35,2022-07-01T00:59:31,365,C,100
TJ38,2022-07-01T00:59:31,293,C,125
BL17,2022-07-01T00:58:52,443,C,173
P13,2022-07-01T00:57:13,150,C,45
PL66,2022-07-01T00:58:32,534,C,252
HG12,2022-07-01T00:59:03,290,C,64
HG13,2022-07-01T00:59:09,97,C,45
HG14,2022-07-01T00:59:15,504,C,105
DWSV,2022-07-01T00:58:23,11,C,0
T48,2022-06-30T11:31:55,648,C,424
TM45,2022-06-30T11:31:56,277,C,223
B40,2022-07-01T00:59:34,540,C,186
W527,2022-07-01T00:35:49,334,C,183
W536,2022-07-01T00:35:49,326,C,123
T76,2022-07-01T00:58:29,348,C,86
KE3,2022-07-01T00:58:59,1018,C,358
W676,2022-07-01T00:59:17,206,C,177
PR2,2022-07-01T00:58:18,791,C,127
Y25,2022-07-01T00:59:02,608,C,220
Y25M,2022-07-01T00:59:03,114,C,48
HG34,2022-07-01T00:58:51,360,C,0
B79,2022-07-01T00:59:41,1719,C,821
HG35,2022-07-01T00:59:03,315,C,46
SE37,2022-07-01T00:58:59,85,C,10
SE42,2022-07-01T00:59:08,352,C,137
SE43,2022-07-01T00:58:41,32,C,0
PL54,2022-07-01T00:57:44,497,C,262
PL55,2022-07-01T00:57:44,364,C,202
PL62,2022-07-01T00:57:44,300,C,168
KU2,2022-07-01T00:58:16,477,C,98
KU3,2022-07-01T00:58:16,337,C,36
KU4,2022-07-01T00:58:16,474,C,77
KU1,2022-07-01T00:58:12,586,C,205
KU9,2022-07-01T00:58:13,101,C,26
BR11,2022-07-01T00:59:13,268,C,84
BR12,2022-07-01T00:59:13,57,C,6
HG24,2022-07-01T00:59:13,325,C,36
HG29,2022-07-01T00:59:14,232,C,48
CR6,2022-07-01T00:56:42,88,C,38
SB17,2022-07-01T00:59:08,561,C,396
SB20,2022-07-01T00:59:07,359,C,247
SB25,2022-07-01T00:59:07,524,C,240
SB32,2022-07-01T00:59:07,143,C,49
KE3M,2022-07-01T00:58:59,255,C,183
BL23,2022-07-01T00:59:19,631,C,274
TM50,2022-07-01T00:58:01,284,C,81
PL57,2022-07-01T00:58:32,521,C,147
PL58,2022-07-01T00:58:33,566,C,300
SD1,2022-07-01T00:58:04,159,C,16
PR10,2022-07-01T00:57:48,725,C,325
PM20,2022-07-01T00:57:57,814,C,329
P16,2022-07-01T00:56:55,150,C,64
T12,2022-07-01T00:58:12,250,C,68
T13,2022-07-01T00:58:12,392,C,151
CAM,2022-07-01T00:58:14,475,C,189
CKM7,2022-07-01T00:56:39,537,C,247
CKM8,2022-07-01T00:56:48,992,C,705
HG1C,2022-07-01T00:59:00,566,C,154
W56,2022-07-01T00:33:51,537,C,368
W889,2022-07-01T00:33:51,567,C,358
W56L,2022-07-01T00:33:51,10,C,0
W887,2022-07-01T00:35:11,286,C,93
MNM,2022-07-01T00:56:00,453,C,168
T25,2022-07-01T00:58:27,170,C,17
W505,2022-07-01T00:35:58,368,C,154
PM15,2022-07-01T00:58:55,1000,C,998
A59,2022-07-01T00:59:06,172,C,21
BJ21,2022-07-01T00:56:47,183,C,26
BJ63,2022-07-01T00:56:54,1640,C,1261
PM4,2022-07-01T00:59:15,809,C,801
PM5,2022-07-01T00:59:15,325,C,102
PM2,2022-07-01T00:58:55,1000,C,993
PM9,2022-07-01T00:58:55,220,C,0
PRS1,2022-07-01T00:58:56,21,C,1
W76,2022-07-01T00:35:59,480,C,267
W77,2022-07-01T00:35:59,388,C,175
W78,2022-07-01T00:35:59,442,C,213
PM22,2022-07-01T00:58:54,355,C,258
PR12,2022-07-01T00:58:54,392,C,75
DWST,2022-07-01T00:58:30,13,C,0
Y51,2022-07-01T00:58:58,483,C,58
Y51M,2022-07-01T00:58:58,486,C,97
Y53M,2022-07-01T00:58:59,400,C,154
Y59M,2022-07-01T00:58:59,248,C,43
Y60M,2022-07-01T00:58:59,383,C,233
Y61M,2022-07-01T00:58:59,553,C,257
T24,2022-07-01T00:58:27,204,C,79
A7,2022-07-01T00:59:15,238,C,113
A36,2022-07-01T00:59:01,680,C,283
A47,2022-07-01T00:58:55,303,C,81
PM35,2022-07-01T00:56:22,361,C,124
P14,2022-07-01T00:57:05,602,C,294
P15,2022-07-01T00:57:09,90,C,49
P17,2022-07-01T00:57:11,135,C,33
T11,2022-07-01T00:58:24,250,C,55
T9,2022-07-01T00:58:24,570,C,199
C21L,2022-07-01T00:40:56,10,C,2
A51,2022-07-01T00:59:17,40,C,12
AM19,2022-07-01T00:59:17,328,C,116
W8M,2022-07-01T00:34:59,217,C,82
CK14,2022-07-01T00:56:31,371,C,32
SMM,2022-07-01T00:56:43,859,C,379
W103,2022-07-01T00:35:28,339,C,193
W109,2022-07-01T00:35:28,22,C,4
W75,2022-07-01T00:35:33,375,C,210
W53,2022-07-01T00:35:58,397,C,106
W72,2022-07-01T00:34:56,524,C,260
W73,2022-07-01T00:35:48,440,C,222
T49,2022-07-01T00:57:38,468,C,85
T49A,2022-07-01T00:57:38,164,C,75
PR4,2022-07-01T00:58:25,1117,C,309
TBC2,2022-07-01T00:59:12,264,C,141
Y32,2022-07-01T00:59:58,382,C,132
Y31,2022-07-01T00:57:59,313,C,89
BJ19,2022-07-01T00:56:56,491,C,34
CK15,2022-07-01T00:56:44,246,C,0
CK6,2022-07-01T00:59:07,40,C,26
CK6A,2022-07-01T00:59:07,300,C,239
P11,2022-07-01T00:57:06,49,C,44
PM46,2022-07-01T00:56:10,237,C,39
HG1A,2022-07-01T00:58:55,563,C,171
HG36,2022-07-01T00:59:00,220,C,50
HG53,2022-07-01T00:59:12,201,C,15
HG56,2022-07-01T00:59:09,20,C,0
HG80,2022-07-01T00:59:19,437,C,234
Y68M,2022-07-01T00:58:17,595,C,213
Y68L,2022-07-01T00:58:17,6,C,2
W90,2022-07-01T00:34:58,499,C,290
W91,2022-07-01T00:34:58,414,C,232
DRM1,2022-07-01T00:59:05,448,C,344
DRM3,2022-07-01T00:59:05,285,C,189
DRM4,2022-07-01T00:59:05,104,C,6
DRM5,2022-07-01T00:59:06,84,C,10
DRS,2022-07-01T00:59:04,1325,C,1301
BJ20,2022-07-01T00:59:04,235,C,15
BJ68,2022-07-01T00:59:04,253,C,99
DRM2,2022-07-01T00:59:05,392,C,195
TM51,2022-07-01T00:58:20,330,C,174
W67,2022-07-01T00:35:39,246,C,128
W717,2022-07-01T00:35:39,114,C,60
SI13,2022-07-01T00:58:27,689,C,212
Y63M,2022-07-01T00:57:45,390,C,170
Y64M,2022-07-01T00:55:01,427,C,187
A21,2022-07-01T00:58:57,633,C,320
A29,2022-07-01T00:58:58,435,C,171
A63,2022-07-01T00:58:45,715,C,285
A88,2022-07-01T00:58:47,44,C,0
SB10,2022-07-01T00:56:41,549,C,362
SB11,2022-07-01T00:55:17,444,C,238
SB13,2022-07-01T00:57:26,1267,C,800
SB12,2022-07-01T00:57:02,798,C,485
W65,2022-07-01T00:35:25,360,C,105
W66,2022-07-01T00:35:49,340,C,104
T38,2022-07-01T00:58:20,974,C,348
T39,2022-07-01T00:58:20,746,C,210
TM41,2022-07-01T00:58:20,272,C,174
W83,2022-07-01T00:35:51,448,C,223
W84,2022-07-01T00:35:28,499,C,190
CK18,2022-07-01T00:56:33,98,C,19
SE51,2022-07-01T00:58:58,280,C,111
HG33,2022-07-01T00:59:06,496,C,81
A77,2022-07-01T00:59:05,267,C,69
A78,2022-07-01T00:58:47,546,C,403
SB7,2022-07-01T00:56:08,421,C,272
SB8,2022-07-01T00:56:25,296,C,116
SB9,2022-07-01T00:54:32,486,C,348
W41,2022-07-01T00:35:57,251,C,33
W55,2022-07-01T00:35:57,373,C,129
Y29,2022-07-01T00:57:37,26,C,7
BE34,2022-07-01T00:58:50,303,C,101
BE35,2022-07-01T00:58:50,190,C,0
Y65M,2022-07-01T00:56:02,500,C,280
Y66M,2022-07-01T00:58:29,412,C,169
BJ58,2022-07-01T00:56:51,850,C,564
W98,2022-07-01T00:34:23,1494,C,885
W61,2022-07-01T00:35:52,1209,C,423
TM47,2022-07-01T00:56:56,655,C,319
T7A,2022-07-01T00:57:12,283,C,268
B23M,2022-07-01T00:57:13,864,C,477
A13,2022-07-01T00:58:58,199,C,92
SH1,2022-07-01T00:58:44,607,C,14
BJ50,2022-07-01T00:56:47,854,C,449
BJ53,2022-07-01T00:56:39,1064,C,671
BJ54,2022-07-01T00:56:52,625,C,356
H93L,2022-07-01T00:59:07,38,C,24
HG93,2022-07-01T00:59:14,899,C,391
HG98,2022-07-01T00:58:58,304,C,40
BJ61,2022-07-01T00:56:44,470,C,120
CKM4,2022-07-01T00:56:47,537,C,222
CK74,2022-07-01T00:56:35,855,C,291
CK78,2022-07-01T00:56:50,1712,C,1220
KJML,2022-07-01T00:55:02,5,C,4
KRM,2022-07-01T00:45:46,173,C,101
C29A,2022-07-01T00:59:14,99,C,90
CLRG,2022-07-01T00:59:17,487,C,177
CLTR,2022-07-01T00:59:17,890,C,485
BE18,2022-07-01T00:58:35,560,C,103
BE44,2022-07-01T00:58:35,424,C,238
PDC5,2022-07-01T00:57:28,185,C,145
PDP5,2022-01-12T15:05:16,140,C,114
GM1M,2022-07-01T00:58:59,1530,C,673
CK1,2022-07-01T00:56:45,331,C,28
PDR2,2022-07-01T00:57:49,222,C,200
PDR6,2022-07-01T00:57:47,248,C,222
Y14,2022-07-01T00:57:32,640,C,290
SK1,2022-07-01T00:56:51,657,C,205
SK8,2022-07-01T00:57:33,659,C,357
SK61,2022-07-01T00:58:04,713,C,405
BRM7,2022-07-01T00:57:55,360,C,207
TPMR,2022-07-01T00:56:01,374,C,134
Y1,2022-07-01T00:58:39,149,C,98
Y2,2022-07-01T00:58:39,399,C,170
Y54M,2022-07-01T00:58:52,434,C,299
PDR7,2022-07-01T00:57:29,169,C,0
PDS1,2022-07-01T00:57:52,346,C,271
PDT8,2022-07-01T00:57:31,45,C,36
PDW7,2022-07-01T00:57:50,171,C,36
CCKC,2022-07-01T00:58:00,53,C,37
UBM2,2022-07-01T00:57:25,485,C,275
BL8L,2022-07-01T00:57:51,6,C,3
Y30M,2022-07-01T00:58:35,321,C,228
WCC,2022-07-01T00:58:11,190,C,67
SB47,2022-07-01T00:59:35,182,C,87
P73L,2022-07-01T00:57:05,4,C,2
S116,2022-07-01T00:59:42,227,C,98
DWSO,2022-07-01T00:47:01,613,C,470
BKE3,2022-07-01T00:45:38,17,C,0
BKE2,2022-07-01T00:45:38,17,C,2
S114,2022-07-01T00:59:20,336,C,250
DSR1,2022-07-01T00:47:04,225,C,170
DSR2,2022-07-01T00:47:04,616,C,552
DSRL,2022-07-01T00:47:04,100,C,0
BJ69,2022-07-01T00:58:02,428,C,333
BJ71,2022-07-01T00:58:23,312,C,262
BJ72,2022-07-01T00:58:08,200,C,142
SK54,2022-07-01T00:59:34,500,C,232
HG1F,2022-07-01T00:54:04,469,C,454
TPMQ,2022-07-01T00:58:11,662,C,290
SK82,2022-07-01T00:57:59,66,C,5
SK84,2022-07-01T00:57:59,611,C,228
S103,2022-07-01T00:55:59,366,C,170
SK76,2022-07-01T00:56:15,337,C,90
SK79,2022-07-01T00:56:15,253,C,45
KAS,2022-07-01T00:59:15,26,C,8
SLS,2022-07-01T00:59:15,79,C,31
U60,2022-07-01T00:55:55,558,C,147
U58,2022-07-01T00:58:34,850,C,274
TW4,2022-07-01T00:56:51,266,C,41
BE19,2022-07-01T00:58:43,380,C,308
BE22,2022-07-01T00:58:44,8,C,3
PL71,2022-07-01T00:57:07,737,C,213
S107,2022-07-01T00:56:54,418,C,113
U55,2022-07-01T00:57:07,350,C,74
W96,2022-07-01T00:36:01,756,C,427
W25,2022-07-01T00:35:29,450,C,61
Y45,2022-07-01T00:58:11,311,C,157
Y46,2022-07-01T00:58:11,593,C,171
J47,2022-07-01T00:58:32,34,C,30
AM43,2022-07-01T00:58:34,465,C,174
BJ4,2022-07-01T00:56:40,752,C,298
BJ8,2022-07-01T00:56:28,957,C,251
CK66,2022-07-01T00:56:42,164,C,33
J35,2022-07-01T00:57:49,165,C,32
CKM5,2022-07-01T00:56:37,2754,C,2336
CKM6,2022-07-01T00:56:49,935,C,590
GM6A,2022-07-01T00:59:05,167,C,61
SB41,2022-07-01T00:58:30,464,C,228
W785,2022-07-01T00:58:46,487,C,205
CK72,2022-07-01T00:56:43,680,C,262
U56,2022-07-01T00:58:46,1004,C,236
S109,2022-07-01T00:57:10,481,C,286
S110,2022-07-01T00:56:47,315,C,148
BTM3,2022-07-01T00:58:54,360,C,107
U57,2022-07-01T00:58:38,1070,C,376
CKM3,2022-07-01T00:56:37,456,C,168
W783,2022-07-01T00:35:51,390,C,184
TGM4,2022-07-01T00:58:53,388,C,177
Y69M,2022-06-30T20:16:31,350,C,200
Y70M,2022-06-30T19:46:48,1248,C,696
Y71M,2022-07-01T00:58:56,423,C,189
SE9,2022-07-01T00:58:44,470,C,210
BJ60,2022-07-01T00:56:39,920,C,625
C15M,2022-07-01T00:59:05,289,C,141
HG3B,2022-07-01T00:56:47,432,C,240
HG3D,2022-07-01T00:56:44,267,C,82
CK9A,2022-07-01T00:56:46,372,C,47
SGTM,2022-07-01T00:56:05,429,C,123
TPL,2022-07-01T00:59:15,18,C,0
J5,2022-07-01T00:58:00,192,C,98
S108,2022-07-01T00:57:13,900,C,355
SK98,2022-07-01T00:55:31,816,C,164
S106,2022-07-01T00:57:23,478,C,268
BJ57,2022-07-01T00:58:17,24,C,5
S104,2022-07-01T00:55:37,339,C,120
S105,2022-07-01T00:55:12,367,C,173
SK99,2022-07-01T00:57:35,824,C,262
BM10,2022-07-01T00:59:04,2000,C,1724
BM13,2022-07-01T00:59:04,117,C,0
PL75,2022-07-01T00:57:13,579,C,202
PL78,2022-07-01T00:57:03,472,C,140
PL77,2022-07-01T00:57:04,376,C,130
TJ41,2022-07-01T00:55:56,316,C,127
J49M,2022-07-01T00:58:58,423,C,235
TJ42,2022-07-01T00:55:19,126,C,62
CK73,2022-07-01T00:57:13,501,C,185
U64,2022-07-01T00:58:41,382,C,122
W691,2022-07-01T00:58:45,333,C,142
W693,2022-06-30T21:17:05,322,C,117
W694,2022-06-30T21:17:06,313,C,191
SB37,2022-07-01T00:58:40,719,C,337
SB39,2022-07-01T00:58:42,273,C,117
SB36,2022-07-01T00:58:41,279,C,82
SB38,2022-07-01T00:58:52,666,C,290
SB40,2022-07-01T00:58:33,263,C,164
Y77L,2022-06-30T20:17:34,2,C,0
Y77M,2022-06-30T20:17:33,423,C,234
Y78M,2022-07-01T00:58:35,216,C,66
A33,2022-07-01T00:58:34,2,C,0
AM64,2022-07-01T00:58:52,552,C,313
S100,2022-07-01T00:58:23,1104,C,429
PL70,2022-07-01T00:57:09,773,C,313
HG2A,2022-07-01T00:56:47,408,C,127
HG2C,2022-07-01T00:57:07,483,C,257
HRM,2022-07-01T00:59:07,751,C,397
MM6,2022-07-01T00:58:17,413,C,176
TM52,2022-07-01T00:56:57,496,C,269
HG2D,2022-07-01T00:57:10,36,C,9
J44,2022-07-01T00:58:48,200,C,40
U66,2022-07-01T00:58:00,452,C,173
U65,2022-07-01T00:58:00,391,C,68
W182,2022-07-01T00:35:52,425,C,198
W185,2022-07-01T00:35:52,540,C,237
Y73M,2022-06-30T20:48:24,762,C,444
Y74M,2022-06-30T20:48:24,379,C,251
Y75M,2019-03-08T15:56:34,379,C,327
Y76M,2022-06-30T20:48:24,421,C,212
SB42,2022-07-01T00:58:53,395,C,211
S36L,2022-07-01T00:58:42,3,C,3
S38L,2022-07-01T00:58:52,8,C,2
S40L,2022-07-01T00:58:33,4,C,3
N0012,2019-03-25T16:41:32,85,C,0
U63,2022-07-01T00:57:49,83,C,27
B44B,2022-07-01T00:56:59,102,C,40
C28M,2022-07-01T00:59:00,305,C,176
TWM4,2022-07-01T00:58:25,200,C,109
U54,2022-07-01T00:58:26,235,C,174
J8M,2022-07-01T00:54:43,139,C,84
Y35,2022-07-01T00:59:34,402,C,67
W100,2022-07-01T00:59:19,282,C,0
W546,2022-07-01T00:59:38,631,C,303
BA1,2022-07-01T00:47:56,278,C,91
U68,2022-07-01T00:57:54,258,C,86
SB35,2022-07-01T00:58:30,549,C,237
J29,2022-07-01T00:58:22,467,C,45
J74M,2022-07-01T00:58:07,72,C,11
NT3,2022-07-01T00:56:52,796,C,257
TM53,2022-07-01T00:57:02,343,C,250
T47,2022-07-01T00:57:10,669,C,201
T47A,2022-07-01T00:56:59,172,C,100
TBL,2022-07-01T00:58:59,1000,C,992
TBM8,2022-07-01T00:58:59,960,C,357
C3ML,2022-07-01T00:48:08,10,Y,4
BA2,2022-07-01T00:47:15,361,C,140
K52,2022-07-01T00:54:45,102,C,48
W574,2022-07-01T00:58:50,479,C,195
SE52,2022-07-01T00:58:40,21,C,13
S111,2022-07-01T00:59:25,570,C,223
SK52,2022-07-01T00:59:17,770,C,390
TM46,2022-07-01T00:57:06,762,C,361
NT1,2022-07-01T00:57:10,469,C,192
NT2,2022-07-01T00:56:51,601,C,216
NTL,2022-07-01T00:57:04,19,C,16
JS3L,2022-07-01T00:58:02,1991,C,1971
SB44,2022-07-01T00:59:28,505,C,210
NT4,2022-07-01T00:57:06,528,C,221
DWVT,2022-07-01T00:58:54,318,C,190
SE5L,2022-07-01T00:46:19,59,C,16
HG18,2022-07-01T00:56:45,242,C,50
P12,2022-07-01T00:58:57,124,C,103
BA3,2022-07-01T00:47:56,622,C,160
SK97,2022-07-01T00:56:59,47,C,7
S113,2022-07-01T00:57:04,426,C,187
S13L,2022-07-01T00:56:58,11,C,7
S14L,2022-07-01T00:57:06,9,C,6
B10M,2022-07-01T00:56:45,317,C,314
PDQ5,2022-07-01T00:58:21,135,C,91
SAM,2022-07-01T00:58:12,327,C,218
PD8W,2022-07-01T00:58:03,290,C,239
PDC4,2022-07-01T00:58:12,178,C,166
PDJ3,2022-07-01T00:58:12,212,C,84
PDJ7,2022-07-01T00:58:15,316,C,169
PDP4,2022-07-01T00:58:10,167,C,59
PDW5,2022-07-01T00:58:14,270,C,156
PDW8,2022-07-01T00:58:24,390,C,316
JS4L,2022-07-01T00:58:14,12,C,8
SB45,2022-07-01T00:59:39,416,C,268
SB46,2022-07-01T00:59:21,443,C,205
C19M,2022-07-01T00:40:10,84,Y,74
B98,2022-07-01T00:57:04,473,C,238
U70,2022-07-01T00:58:05,805,C,506
SB43,2022-07-01T00:59:17,202,C,101
Q41,2022-07-01T00:58:54,90,C,18
SK53,2022-07-01T00:59:23,770,C,324
CKT2,2022-07-01T00:56:45,81,C,0
TM54,2022-07-01T00:57:05,265,C,92
JS5L,2022-07-01T00:58:25,30,C,19
TBM4,2022-07-01T00:38:09,67,Y,51
TEST,2014-03-24T11:37:16,71,C,69
TRM,2022-07-01T00:40:55,77,Y,61
TRM,2022-07-01T00:48:55,272,C,161
S39L,2022-07-01T00:47:53,5,C,3
HG3L,2022-07-01T00:57:01,725,C,205
HG3E,2022-07-01T00:57:13,299,C,110
HG1,2022-07-01T00:56:52,164,C,90
AM14,2022-07-01T00:46:43,350,C,110
CR1A,2022-07-01T00:46:48,22,C,2
CR1B,2022-07-01T00:46:48,20,C,0
U69,2022-07-01T00:58:15,389,C,184
B48B,2022-07-01T00:54:09,73,C,32
TM55,2022-07-01T00:57:08,298,C,148
T58,2022-07-01T00:56:53,99,C,34
HG1E,2022-07-01T00:54:39,306,C,163
RHS,2022-07-01T00:25:16,1,Y,0
BJ1L,2020-12-11T23:33:04,0,C,0
BJAL,2022-07-01T00:58:24,38,C,37
DWSP,2022-07-01T00:47:03,604,C,363
Y82M,2022-06-29T16:30:03,341,C,267
CLM,2022-07-01T00:38:04,50,H,0
BJBL,2022-07-01T00:58:20,13,C,7
PDL2,2022-07-01T00:57:48,278,C,271
NT5,2022-07-01T00:57:12,1489,C,668
A61,2022-07-01T00:58:38,1129,C,569
Y38,2022-07-01T00:59:36,648,C,210
BA4,2022-07-01T00:47:47,619,C,34
JS1L,2022-07-01T00:58:11,10,C,2
A26,2022-07-01T00:47:08,333,C,129
B65M,2022-07-01T00:56:49,679,C,328
B65L,2022-07-01T00:56:49,5,C,0
